Sentence,Lesson
Le rôti cuit au four.,31
La cloche sonne minuit.,22
Bonne nuit.,24
Son père lui raconte un conte de fées.,26
Écoute la chanson à la radio.,30
La lionne chasse la gazelle.,37
Le lion garde sa tribu.,26
Elle est impolie.,43
Maman a ajouté un brin de romarin au ragoût.,34
Il est malin.,34
Elle a étendu le linge sur la corde.,44
Je suis allé à un spectacle de magie.,44
Elle a rempli le vase de roses.,45
La fusée décolle de la Terre.,45
Elle a compris la ruse.,45
Je me suis assis à table.,24
Mon cousin est venu pour les vacances.,45
Nous allons en vacances à la plage.,44
Tu as cinq ans.,38
Il a noué le fil fort sur le mât.,15
Le lilas a fané.,15
Il a fini le livre.,15
Le fruit a mûri.,15
Il a vu le film.,15
Il a mis une affiche sur le mur.,16
Flore se mouche.,16
La machine marche.,16
Le marché ouvre.,16
Le chat a filé sous le char.,16
La vache mâche le chou.,16
Je me réjouis ! ,17
Je lis le journal.,17
Je suis ravi !,17
Le chat chasse la souris.,16
Je marche sur la dune.,18
Il nous a donné de la limonade.,18
Je me suis douché.,18
La marmotte dort toute la journée.,19
Il dort toute la journée.,19
Finis ta tartine.,19
Voilà une idée !,21
Il admire la lune.,18
Allons jouer au ballon dans le parc.,46
Nous irons au parc.,31
Papa m'a offert un bouquet de muguet.,48
Ferme les volets.,48
Elle a attrapé un poisson dans le filet.,48
La dame mange la tarte.,44
Les dames mangent la tarte,49
Le bébé ne dort pas.,24
Les bébés ne dorment pas.,49
Le bus roule dans la rue.,30
Les bus roulent dans la rue.,49
Le chat grimpe.,43
Les chats grimpent.,49
Je me sèche avec une serviette.,37
Le corbeau est un oiseau.,49
Mon frère a un an.,30
Ceci est un message confidentiel !,56
Le bébé boit son biberon.,26
Il commande la crêpe fourrée de chocolat.,30
Elle est parti en taxi.,51
Tu as mangé trop de bonbons.,54
Mamie est malade.,28
Le cygne flotte sur la mare.,52
Les vignes poussent dans le vignoble.,52
Mon cousin est un guignol !,52
Viens chez moi !,53
Venez chez moi !,53
Tu manges au restaurant.,44
Vous mangez au restaurant.,53
Tu marches vite.,19
Vous marchez vite.,53
Le marchand vend des légumes sur le marché.,54
Le filet de poisson grille dans le four.,54
Le vieux chien se repose.,47
Maman a attaché ses longs cheveux.,54
Il a gagné un trophée au tennis.,52
Le phare éclaire le chemin des bateaux.,49
Nous payons le loyer.,58
Je balaie les miettes sur le sol.,37
Envoyez la lettre par la poste.,58
Le pêcheur a attrapé plein de seiches dans son filet.,48
Notre équipe a reçu une médaille.,38
Le bouilloire siffle.,15
Il a voulu réussir.,12
Il ouvre la valse.,13
Il a vu le navire sur la rive.,13
Une alarme sonne.,13
Le rat vit sous la ville.,13
À minuit il sort.,13
Il avale une olive.,13
Le cheval a chassé le chat.,16
Allume la radio.,18
Il se mouche.,16
Tu sorti le chat.,19
Il a déjà fini le livre.,18
Le chat a attrapé une truite.,20
La poule picore.,22
Ma copine coupe la carotte.,22
Le jour se lève.,23
Papa va à la douche.,20
Il se prépare vite.,20
Il boit à sa gourde.,25
Coupe le légume.,25
Le bus arrive.,24
Apporte ton livre.,26
On a la quiche pour le déjeuner.,46
Tu es à la boutique.,37
Tu es rapide.,37
Regarde par la vitre.,25
Le téléski nous remonte sur la piste de ski.,32
La météo est glacée en ce moment.,38
Je dessine un cercle.,38
Nous irons écouter un concert.,46
Il a renversé du jus sur son pantalon.,37
Mon cousin est mignon.,52
Un noyer pousse dans mon jardin.,58
Il y a le métro.,19
Écoute la dame qui parle.,27
Silence pendant que nous regardons le film.,38
Vous devez prendre le bus.,53
Elle adore manger des frites sur la plage.,46
Il a joué un domino.,18
Papa paie le loyer.,58
Le petit chien noir mange son os. Il va aboyer si le chat arrive.,58
